Day,Date,Leads,Time spent on LG (mins),Avg Time Per Lead (mins),Daily Team Review,No. of Incomplete Leads
Mon,2023-06-12,5.0,135.0,27.0,1,0.0
Tue,2023-06-13,9.0,210.0,23.0,1,0.0
Wed,2023-06-14,13.0,300.0,23.0,1,0.0
Thu,2023-06-15,9.0,360.0,27.0,1,0.0
Fri,2023-06-16,11.0,300.0,27.0,1,0.0
Sat,2023-06-17,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-06-18,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-06-19,10.0,360.0,27.0,1,0.0
Tue,2023-06-20,14.0,360.0,26.0,1,0.0
Wed,2023-06-21,9.0,280.0,27.0,1,0.0
Thu,2023-06-22,11.902439024390244,225.2439024390244,17.0,1,0.0
Fri,2023-06-23,10.0,240.0,24.0,1,0.0
Sat,2023-06-24,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-06-25,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-06-26,14.0,260.0,19.0,1,0.0
Tue,2023-06-27,15.0,260.0,17.0,1,0.0
Wed,2023-06-28,15.0,240.0,16.0,1,0.0
Thu,2023-06-29,11.902439024390244,225.2439024390244,17.0,1,0.0
Fri,2023-06-30,15.0,240.0,16.0,1,0.0
Sat,2023-07-01,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-07-02,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-07-03,10.0,200.0,20.0,1,0.0
Tue,2023-07-04,15.0,240.0,16.0,1,0.0
Wed,2023-07-05,10.0,240.0,24.0,1,0.0
Thu,2023-07-06,11.0,200.0,18.0,1,0.0
Fri,2023-07-07,6.0,135.0,20.0,1,0.0
Sat,2023-07-08,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-07-09,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-07-10,15.0,240.0,16.0,1,0.0
Tue,2023-07-11,15.0,260.0,17.0,1,0.0
Wed,2023-07-12,12.0,240.0,20.0,1,0.0
Thu,2023-07-13,9.0,150.0,17.0,1,0.0
Fri,2023-07-14,11.902439024390244,225.2439024390244,17.0,1,0.0
Sat,2023-07-15,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-07-16,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-07-17,10.0,160.0,16.0,1,0.0
Tue,2023-07-18,10.0,160.0,16.0,1,0.0
Wed,2023-07-19,10.0,170.0,17.0,1,0.0
Thu,2023-07-20,10.0,190.0,19.0,1,0.0
Fri,2023-07-21,10.0,150.0,15.0,1,0.0
Sat,2023-07-22,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-07-23,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-07-24,10.0,160.0,16.0,1,0.0
Tue,2023-07-25,10.0,180.0,18.0,1,0.0
Wed,2023-07-26,11.0,180.0,16.0,0,0.0
Thu,2023-07-27,11.902439024390244,225.2439024390244,17.0,1,0.0
Fri,2023-07-28,20.0,360.0,18.0,1,0.0
Sat,2023-07-29,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-07-30,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-07-31,10.0,160.0,16.0,1,0.0
Tue,2023-08-01,15.0,210.0,14.0,1,0.0
Wed,2023-08-02,15.0,210.0,14.0,1,0.0
Thu,2023-08-03,10.0,135.0,14.0,1,0.0
Fri,2023-08-04,10.0,135.0,14.0,1,0.0
Sat,2023-08-05,11.902439024390244,225.2439024390244,17.0,1,0.0
Sun,2023-08-06,11.902439024390244,225.2439024390244,17.0,1,0.0
Mon,2023-08-07,15.0,240.0,16.0,1,0.0
Tue,2023-08-08,15.0,300.0,20.0,1,0.0
Wed,2023-08-09,15.0,240.0,16.0,1,0.0
Thu,2023-08-10,15.0,240.0,16.0,1,0.0
Fri,2023-08-11,15.0,240.0,16.0,1,0.0
