Day,Date,Leads,Time spent on LG (mins),Avg Time Per Lead (mins),Daily Team Review,No. of Incomplete Leads
Mon,2023-06-12,7.0,170.0,18.0,1,0.0
Tue,2023-06-13,8.0,153.0,18.0,1,0.0
Wed,2023-06-14,9.0,161.0,18.0,1,0.0
Thu,2023-06-15,9.0,170.0,18.0,1,0.0
Fri,2023-06-16,10.0,141.0,14.0,1,0.0
Sat,2023-06-17,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-06-18,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-06-19,10.0,145.0,15.0,1,0.0
Tue,2023-06-20,10.0,136.0,14.0,1,0.0
Wed,2023-06-21,12.0,125.0,10.0,1,0.0
Thu,2023-06-22,11.560975609756097,135.82926829268294,11.0,1,0.0
Fri,2023-06-23,10.0,112.0,11.0,1,0.0
Sat,2023-06-24,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-06-25,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-06-26,14.0,170.0,14.0,1,0.0
Tue,2023-06-27,15.0,170.0,11.0,1,0.0
Wed,2023-06-28,15.0,161.0,11.0,1,0.0
Thu,2023-06-29,11.560975609756097,135.82926829268294,11.0,1,0.0
Fri,2023-06-30,12.0,135.0,11.0,1,0.0
Sat,2023-07-01,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-07-02,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-07-03,12.0,162.0,14.0,1,0.0
Tue,2023-07-04,15.0,150.0,10.0,1,0.0
Wed,2023-07-05,11.0,125.0,11.0,1,0.0
Thu,2023-07-06,13.0,138.0,11.0,1,0.0
Fri,2023-07-07,11.0,126.0,11.0,1,0.0
Sat,2023-07-08,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-07-09,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-07-10,11.0,122.0,11.0,1,0.0
Tue,2023-07-11,12.0,123.0,10.0,1,0.0
Wed,2023-07-12,10.0,119.0,12.0,1,0.0
Thu,2023-07-13,11.0,112.0,10.0,1,0.0
Fri,2023-07-14,11.560975609756097,135.82926829268294,11.0,1,0.0
Sat,2023-07-15,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-07-16,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-07-17,12.0,138.0,12.0,1,0.0
Tue,2023-07-18,14.0,130.0,10.0,1,0.0
Wed,2023-07-19,11.0,125.0,11.0,1,0.0
Thu,2023-07-20,12.0,125.0,10.0,1,0.0
Fri,2023-07-21,15.0,169.0,11.0,1,0.0
Sat,2023-07-22,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-07-23,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-07-24,12.0,136.0,11.0,1,0.0
Tue,2023-07-25,11.0,120.0,11.0,1,0.0
Wed,2023-07-26,12.0,130.0,11.0,1,0.0
Thu,2023-07-27,11.560975609756097,135.82926829268294,11.0,1,0.0
Fri,2023-07-28,5.0,112.0,10.0,1,0.0
Sat,2023-07-29,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-07-30,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-07-31,12.0,128.0,11.0,1,0.0
Tue,2023-08-01,12.0,120.0,10.0,1,0.0
Wed,2023-08-02,12.0,133.0,11.0,1,0.0
Thu,2023-08-03,13.0,135.0,10.0,1,0.0
Fri,2023-08-04,12.0,125.0,10.0,1,0.0
Sat,2023-08-05,11.560975609756097,135.82926829268294,11.0,1,0.0
Sun,2023-08-06,11.560975609756097,135.82926829268294,11.0,1,0.0
Mon,2023-08-07,12.0,121.0,10.0,1,0.0
Tue,2023-08-08,10.0,112.0,10.0,1,0.0
Wed,2023-08-09,12.0,115.0,10.0,1,0.0
Thu,2023-08-10,15.0,156.0,10.0,1,0.0
Fri,2023-08-11,13.0,126.0,10.0,1,0.0
