Day,Date,Leads,Time spent on LG (mins),Avg Time Per Lead (mins),Daily Team Review,No. of Incomplete Leads
Mon,2023-06-12,7.0,240.0,34.0,1,0.0
Tue,2023-06-13,10.0,360.0,34.0,1,1.0
Wed,2023-06-14,10.0,270.0,27.0,1,0.0
Thu,2023-06-15,10.0,260.0,26.0,1,0.0
Fri,2023-06-16,10.0,240.0,24.0,1,0.0
Sat,2023-06-17,10.902439024390244,258.1707317073171,24.0,1,0.0
Sun,2023-06-18,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-06-19,10.0,360.0,34.0,1,0.0
Tue,2023-06-20,10.0,260.0,26.0,1,0.0
Wed,2023-06-21,8.0,240.0,30.0,1,1.0
Thu,2023-06-22,10.902439024390244,258.1707317073171,24.0,1,0.0
Fri,2023-06-23,9.0,230.0,26.0,1,1.0
Sat,2023-06-24,10.902439024390244,258.1707317073171,24.0,1,0.0
Sun,2023-06-25,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-06-26,14.0,280.0,20.0,1,1.0
Tue,2023-06-27,7.0,260.0,34.0,1,1.0
Wed,2023-06-28,19.0,360.0,19.0,1,0.0
Thu,2023-06-29,10.902439024390244,258.1707317073171,24.0,1,0.0
Fri,2023-06-30,18.0,360.0,21.0,1,1.0
Sat,2023-07-01,10.902439024390244,258.1707317073171,24.0,1,0.0
Sun,2023-07-02,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-07-03,10.0,230.0,23.0,1,0.0
Tue,2023-07-04,10.0,260.0,26.0,1,0.0
Wed,2023-07-05,12.0,290.0,24.0,1,0.0
Thu,2023-07-06,10.0,250.0,25.0,1,0.0
Fri,2023-07-07,10.0,260.0,26.0,1,0.0
Sat,2023-07-08,10.902439024390244,258.1707317073171,24.0,1,0.0
Sun,2023-07-09,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-07-10,11.0,260.0,24.0,1,0.0
Tue,2023-07-11,12.0,275.0,23.0,1,0.0
Wed,2023-07-12,11.0,240.0,22.0,1,0.0
Thu,2023-07-13,12.0,260.0,22.0,1,0.0
Fri,2023-07-14,10.902439024390244,258.1707317073171,24.0,1,0.0
Sat,2023-07-15,10.902439024390244,258.1707317073171,24.0,1,0.0
Sun,2023-07-16,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-07-17,10.0,260.0,26.0,1,0.0
Tue,2023-07-18,10.0,290.0,29.0,1,0.0
Wed,2023-07-19,12.0,285.0,24.0,1,0.0
Thu,2023-07-20,11.0,250.0,23.0,1,0.0
Fri,2023-07-21,14.0,290.0,21.0,1,0.0
Sat,2023-07-22,10.902439024390244,258.1707317073171,24.0,1,0.0
Sun,2023-07-23,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-07-24,13.0,290.0,22.0,1,0.0
Tue,2023-07-25,13.0,290.0,22.0,1,0.0
Wed,2023-07-26,10.0,260.0,26.0,1,0.0
Thu,2023-07-27,10.902439024390244,258.1707317073171,24.0,1,0.0
Fri,2023-07-28,12.0,240.0,20.0,1,0.0
Sat,2023-07-29,10.902439024390244,258.1707317073171,24.0,1,0.0
Sun,2023-07-30,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-07-31,10.0,250.0,25.0,1,0.0
Tue,2023-08-01,10.902439024390244,258.1707317073171,24.0,0,0.0
Wed,2023-08-02,4.0,190.0,18.0,1,0.0
Thu,2023-08-03,10.0,250.0,25.0,1,0.0
Fri,2023-08-04,10.0,250.0,25.0,1,0.0
Sat,2023-08-05,16.0,270.0,18.0,1,0.0
Sun,2023-08-06,10.902439024390244,258.1707317073171,24.0,1,0.0
Mon,2023-08-07,11.0,250.0,23.0,1,0.0
Tue,2023-08-08,10.0,190.0,19.0,1,0.0
Wed,2023-08-09,10.0,190.0,19.0,1,0.0
Thu,2023-08-10,10.0,190.0,18.0,0,0.0
Fri,2023-08-11,11.0,200.0,18.0,1,0.0
