Date,Predicted Leads (Another)
12-08-2023,11.476574
13-08-2023,12.108808
14-08-2023,12.098291
15-08-2023,10.810389
16-08-2023,10.437499
17-08-2023,12.066112
18-08-2023,11.524763
19-08-2023,10.192388
20-08-2023,12.585313
21-08-2023,13.043837
22-08-2023,11.856097
23-08-2023,12.906621
24-08-2023,12.264338
25-08-2023,11.11274
26-08-2023,13.398722
27-08-2023,12.142529
28-08-2023,12.380093
29-08-2023,12.112537
30-08-2023,12.16228
31-08-2023,12.181231
01-09-2023,11.718059
02-09-2023,11.777497
03-09-2023,11.429791
04-09-2023,12.294662
05-09-2023,12.306695
06-09-2023,11.444911
07-09-2023,12.838
08-09-2023,12.390978
09-09-2023,12.352182
10-09-2023,11.586979
